location_id,location,latitude,longitude
1272,KOTA TANJUNG BALAI,2.95833,99.79167
2172,KOTA TANJUNG PINANG,0.91683,104.44329
6571,KOTA TARAKAN,3.36667,117.6
3278,KOTA TASIKMALAYA,-7.35,108.21667
1274,KOTA TEBING TINGGI,3.325,99.14167
3376,KOTA TEGAL,-6.8686,109.1129
8271,KOTA TERNATE,0.89618,127.31016
8272,KOTA TIDORE KEPULAUAN,0.60962,127.56981
7173,KOTA TOMOHON,1.31307,124.83404
8172,KOTA TUAL,-5.64301,132.74934
3471,KOTA YOGYAKARTA,-7.8,110.375
6201,KOTAWARINGIN BARAT,-2.4,111.73333
6201,KOTAWARINGIN BARAT,-2.4,111.73333
6202,KOTAWARINGIN TIMUR,-2.08333,112.75
6202,KOTAWARINGIN TIMUR,-2.08333,112.75
1401,KUANTAN SINGINGI,-0.47532,101.45857
6112,KUBU RAYA,0.01637,109.33731
3319,KUDUS,-6.8,110.86667
3401,KULON PROGO,-7.645,110.02694
3208,KUNINGAN,-7,108.55
5303,KUPANG,-9.91667,123.83333
6402,KUTAI BARAT,-0.59417,115.51575
6403,KUTAI KARTANEGARA,-0.44019,116.98139
6404,KUTAI TIMUR,1.03769,117.83112
1207,LABUHAN BATU,2.26667,100.1
1222,LABUHAN BATU SELATAN,1.983,100.0976
1223,LABUHAN BATU UTARA,2.33349,99.63776
1604,LAHAT,-3.7864,103.5428
6207,LAMANDAU,-1.83828,111.2869
3524,LAMONGAN,-7.13333,112.31667
1801,LAMPUNG BARAT,-5.14904,104.19309
1803,LAMPUNG SELATAN,-5.4531,104.9877
1805,LAMPUNG TENGAH,-4.86667,105.26667
1804,LAMPUNG TIMUR,-5.10273,105.68003
1806,LAMPUNG UTARA,-4.81667,104.8
6103,LANDAK,0.42373,109.75917
1213,LANGKAT,3.71667,98.21667
9430,LANNY JAYA,-3.91244,138.28766
3602,LEBAK,-6.65,106.21667
1707,LEBONG,-3.24278,102.3349
5308,LEMBATA,-8.41396,123.55225
1308,LIMA PULUH KOTA,-0.0168,100.5872
1308,LIMA PULUH KOTA,-0.0168,100.5872
2104,LINGGA,0.2,104.61667
5201,LOMBOK BARAT,-8.69583,116.11667
5202,LOMBOK TENGAH,-8.7,116.3
5203,LOMBOK TIMUR,-8.53333,116.53333
5208,LOMBOK UTARA,-8.35214,116.40152
3508,LUMAJANG,-8.11667,113.15
7317,LUWU,-2.5577,121.3242
7325,LUWU TIMUR,-2.50957,120.3978
7322,LUWU UTARA,-2.6,120.25
3519,MADIUN,-7.61667,111.65
3308,MAGELANG,-7.4275,110.16194
3520,MAGETAN,-7.64472,111.35917
6411,MAHAKAM ULU,0.37822,115.38048
3210,MAJALENGKA,-6.81667,108.28333
7601,MAJENE,-3.15,118.86667
5321,MALAKA,-9.5632,124.89481
3507,MALANG,-8.16667,112.66667
